ticker,date,open,high,low,close
A,2016-10-19,45.41,46.15,45.34,46.02
A,2016-10-20,46.0,46.215,45.65,46.05
A,2016-10-21,45.67,45.67,45.29,45.57
A,2016-10-24,45.88,45.95,45.64,45.85
A,2016-10-25,45.26,45.59,43.17,43.51
A,2016-10-26,43.42,43.82,43.24,43.37
A,2016-10-27,43.97,44.19,43.35,43.38
A,2016-10-28,43.38,43.87,43.11,43.22
A,2016-10-31,43.33,43.7,43.18,43.57
A,2016-11-01,43.73,44.11,43.14,43.49
A,2016-11-02,43.47,43.73,43.24,43.26
A,2016-11-03,43.33,44.0,43.18,43.66
A,2016-11-04,43.69,44.915,43.69,44.32
A,2016-11-07,44.99,45.76,44.95,45.71
A,2016-11-08,45.48,45.9599,45.32,45.62
A,2016-11-09,45.41,46.09,44.49,45.94
A,2016-11-10,46.6,47.38,46.34,47.03
A,2016-11-11,46.77,46.87,46.21,46.36
A,2016-11-14,46.66,46.73,45.18,45.33
A,2016-11-15,45.33,46.0,44.95,45.4
A,2016-11-16,46.3,47.8,46.15,46.18
A,2016-11-17,46.16,46.16,45.55,45.94
AA,2016-10-19,26.45,27.43,26.37,27.04
AA,2016-10-20,26.97,27.175,26.615,26.69
AA,2016-10-21,26.57,27.06,26.33,26.88
AA,2016-10-24,27.01,27.05,26.76,26.86
AA,2016-10-25,27.26,27.75,26.99,27.29
AA,2016-10-26,27.23,27.875,27.07,27.79
AA,2016-10-27,27.85,28.24,27.81,28.22
AA,2016-10-28,28.08,28.53,28.07,28.37
AA,2016-10-31,28.44,29.13,28.34,28.72
AAL,2016-10-19,39.48,40.81,39.4,40.63
AAL,2016-10-20,40.93,40.93,39.4148,40.59
AAL,2016-10-21,39.97,40.245,39.65,39.9
AAL,2016-10-24,40.25,40.55,39.77,39.83
AAL,2016-10-25,39.66,40.43,39.36,39.69
AAL,2016-10-26,38.57,40.26,38.21,39.32
AAL,2016-10-27,39.45,40.18,39.26,39.92
AAL,2016-10-28,39.85,40.57,39.8,40.055
AAL,2016-10-31,40.31,40.81,40.08,40.6
AAL,2016-11-01,40.51,40.85,39.565,39.77
AAL,2016-11-02,39.72,40.25,39.62,39.71
AAL,2016-11-03,39.78,40.24,39.3,39.38
AAL,2016-11-04,39.27,40.22,39.24,39.74
AAL,2016-11-07,40.39,41.65,40.31,41.49
AAL,2016-11-08,41.42,41.85,41.02,41.7
AAL,2016-11-09,40.76,42.75,40.44,42.41
AAL,2016-11-10,42.71,43.39,42.15,42.3
AAL,2016-11-11,42.07,42.95,41.68,42.93
AAL,2016-11-14,43.01,43.61,42.98,43.405
AAL,2016-11-15,45.0,45.28,43.59,44.8
AAL,2016-11-16,44.66,44.795,43.93,44.45
AAL,2016-11-17,44.39,45.85,44.05,45.83
AAMC,2016-10-19,37.85,40.8,33.75,34.25
AAMC,2016-10-20,33.95,36.8,33.95,36.65
AAMC,2016-10-21,36.45,39.45,35.95,38.55
AAMC,2016-10-24,38.0,39.175,36.5,37.55
AAMC,2016-10-25,37.95,37.95,32.4501,32.85
AAMC,2016-10-26,32.9,34.2793,32.1,32.95
AAMC,2016-10-27,32.901,33.0,31.7,32.5
AAMC,2016-10-28,32.05,33.3,32.05,32.875
AAMC,2016-10-31,32.55,35.0,31.982,34.15
AAMC,2016-11-01,34.7,36.0863,34.0,35.05
AAMC,2016-11-02,35.15,35.5,34.1,35.5
AAMC,2016-11-03,35.5,37.365,35.5,35.95
AAMC,2016-11-04,36.05,37.0,35.18,36.7
AAMC,2016-11-07,36.7,36.9457,35.025,35.1
AAMC,2016-11-08,34.85,34.9,33.2046,34.15
AAMC,2016-11-09,34.15,37.7499,34.15,36.5
AAMC,2016-11-10,37.2,37.2,36.0595,36.6
AAMC,2016-11-11,36.5,37.9,36.25,36.6
AAMC,2016-11-14,36.6,36.6,29.9,33.0
AAMC,2016-11-15,32.9,34.0,32.0,32.5
AAMC,2016-11-16,32.1,32.1,30.15,30.25
AAMC,2016-11-17,29.95,30.15,26.975,29.0
AAN,2016-10-19,23.53,23.8,23.37,23.56
AAN,2016-10-20,23.45,23.67,23.16,23.22
AAN,2016-10-21,23.06,23.36,22.94,23.23
AAN,2016-10-24,23.6,23.71,23.43,23.52
AAN,2016-10-25,23.42,23.46,23.005,23.1
AAN,2016-10-26,22.93,23.31,22.77,22.95
AAN,2016-10-27,22.71,22.86,22.37,22.63
AAN,2016-10-28,23.28,24.9,22.96,24.33
AAN,2016-10-31,24.48,25.09,24.43,24.71
AAN,2016-11-01,24.82,25.2,24.64,25.17
AAN,2016-11-02,25.15,25.57,24.77,24.81
AAN,2016-11-03,24.81,25.26,24.69,24.84
AAN,2016-11-04,24.98,25.78,24.9,25.26
AAN,2016-11-07,25.78,26.04,25.71,26.01
AAN,2016-11-08,25.92,26.1,25.6,25.71
AAN,2016-11-09,25.22,26.3725,25.22,26.3
AAN,2016-11-10,26.5,27.31,26.31,26.75
AAN,2016-11-11,26.78,27.59,26.57,27.47
AAN,2016-11-14,27.6,28.4,27.53,27.97
AAN,2016-11-15,27.95,28.4,27.66,28.04
AAN,2016-11-16,27.94,28.76,27.84,28.63
AAN,2016-11-17,28.77,29.0,28.61,28.64
AAOI,2016-10-19,20.01,20.33,19.98,20.295
AAOI,2016-10-20,20.13,21.03,20.13,20.75
AAOI,2016-10-21,20.63,20.71,20.2197,20.565
AAOI,2016-10-24,20.72,21.61,20.662,21.59
AAOI,2016-10-25,21.52,21.6134,20.83,21.15
AAOI,2016-10-26,21.25,21.869,20.975,21.39
AAOI,2016-10-27,21.63,21.89,19.91,19.99
AAOI,2016-10-28,19.8,20.37,19.55,19.69
AAOI,2016-10-31,19.5,20.01,19.15,19.23
AAOI,2016-11-01,19.25,19.86,18.85,19.15
AAOI,2016-11-02,19.51,21.1,19.205,20.1
AAOI,2016-11-03,20.5,21.01,19.7168,20.85
AAOI,2016-11-04,23.3,23.3,20.63,21.65
AAOI,2016-11-07,22.25,23.67,22.0544,23.5
AAOI,2016-11-08,23.18,23.37,22.01,22.76
AAOI,2016-11-09,22.0,23.78,21.66,23.55
AAOI,2016-11-10,23.62,24.0657,22.73,23.58
AAOI,2016-11-11,23.25,25.2,23.25,24.97
AAOI,2016-11-14,25.22,25.5,24.47,24.6
AAOI,2016-11-15,24.14,25.27,24.03,24.7
AAOI,2016-11-16,25.3,26.09,24.7,26.08
AAOI,2016-11-17,25.98,26.15,25.36,26.15
AAON,2016-10-19,29.3,29.3,28.6641,28.85
AAON,2016-10-20,28.55,29.15,28.5,28.9
AAON,2016-10-21,28.6,29.6,28.6,29.55
AAON,2016-10-24,29.75,30.1,29.25,29.8
AAON,2016-10-25,29.8,29.8,29.15,29.55
AAON,2016-10-26,29.3,29.55,28.9,29.15
AAON,2016-10-27,29.25,29.55,29.05,29.5
AAON,2016-10-28,29.4,29.6,29.25,29.45
AAON,2016-10-31,29.6,30.0,29.15,29.95
AAON,2016-11-01,30.1,30.1855,28.55,29.05
AAON,2016-11-02,29.05,29.28,28.55,28.55
AAON,2016-11-03,28.75,28.75,27.45,27.55
AAON,2016-11-04,27.5,28.81,27.5,27.55
AAON,2016-11-07,28.1,28.5,27.9,28.35
AAON,2016-11-08,28.25,28.7,28.075,28.35
AAON,2016-11-09,28.35,30.1,28.15,29.8
AAON,2016-11-10,29.95,30.6,29.3,30.375
AAON,2016-11-11,30.4,32.2,30.4,32.2
AAON,2016-11-14,32.25,33.1,32.2,33.05
AAON,2016-11-15,33.5,33.5,32.2,32.3
AAON,2016-11-16,32.25,32.4,31.95,32.4
AAON,2016-11-17,32.6,33.0,32.6,32.85
AAP,2016-10-19,142.06,145.0,138.02,142.23
AAP,2016-10-20,142.09,142.73,140.87,141.3
AAP,2016-10-21,140.68,142.2,139.76,141.93
AAP,2016-10-24,142.92,143.54,140.64,141.1
AAP,2016-10-25,140.43,144.26,140.09,143.81
AAP,2016-10-26,143.52,144.66,142.69,143.96
AAP,2016-10-27,143.44,144.54,138.98,139.22
AAP,2016-10-28,138.45,141.41,138.19,140.2
AAP,2016-10-31,140.33,140.815,138.83,140.08
AAP,2016-11-01,139.88,140.92,138.54,139.79
AAP,2016-11-02,139.66,140.0,137.12,138.14
AAP,2016-11-03,138.8,140.29,138.23,138.85
AAP,2016-11-04,138.85,140.0,135.76,136.19
AAP,2016-11-07,137.54,137.83,136.22,137.54
AAP,2016-11-08,137.45,139.0,136.1,137.67
AAP,2016-11-09,134.79,140.54,134.08,140.33
AAP,2016-11-10,140.85,146.45,140.85,145.82
AAP,2016-11-11,145.11,147.23,143.63,145.0
AAP,2016-11-14,145.28,147.0,142.2,142.9
AAP,2016-11-15,164.0,166.9,161.5278,164.33
AAP,2016-11-16,163.21,163.74,160.95,162.98
AAP,2016-11-17,163.44,166.97,162.34,166.32
AAPL,2016-10-19,117.25,117.76,113.8,117.12
AAPL,2016-10-20,116.86,117.38,116.33,117.06
AAPL,2016-10-21,116.81,116.91,116.28,116.6
AAPL,2016-10-24,117.1,117.74,117.0,117.6292
AAPL,2016-10-25,117.95,118.36,117.31,118.25
AAPL,2016-10-26,114.31,115.7,113.31,115.59
AAPL,2016-10-27,115.39,115.86,114.1,114.51
AAPL,2016-10-28,113.87,115.21,113.45,113.69
AAPL,2016-10-31,113.65,114.23,113.2,113.54
AAPL,2016-11-01,113.46,113.77,110.53,111.47
AAPL,2016-11-02,111.4,112.35,111.23,111.59
AAPL,2016-11-03,110.98,111.46,109.55,109.83
AAPL,2016-11-04,108.53,110.25,108.11,108.84
AAPL,2016-11-07,110.08,110.51,109.46,110.41
AAPL,2016-11-08,110.31,111.72,109.7,111.06
AAPL,2016-11-09,109.88,111.32,108.05,110.88
AAPL,2016-11-10,111.09,111.09,105.83,107.76
AAPL,2016-11-11,106.92,108.87,106.55,108.43
AAPL,2016-11-14,107.32,107.809,104.08,105.74
AAPL,2016-11-15,106.57,107.68,106.1593,107.11
AAPL,2016-11-16,106.7,110.23,106.6,110.04
AAPL,2016-11-17,109.81,110.35,108.83,109.95
AAT,2016-10-19,40.75,40.79,40.37,40.58
AAT,2016-10-20,40.58,40.9,40.17,40.4
AAT,2016-10-21,40.0,40.4313,39.8,40.17
AAT,2016-10-24,40.33,40.82,40.1613,40.43
AAT,2016-10-25,40.34,40.34,39.9,40.02
AAT,2016-10-26,39.73,39.73,39.18,39.34
AAT,2016-10-27,39.35,39.35,38.38,38.46
AAT,2016-10-28,38.4,38.95,38.27,38.8
AAT,2016-10-31,38.98,39.72,38.59,39.71
AAT,2016-11-01,39.46,39.68,38.24,38.53
AAT,2016-11-02,38.72,39.17,38.11,38.2
AAT,2016-11-03,37.92,38.43,37.54,38.24
AAT,2016-11-04,38.52,38.63,38.265,38.41
AAT,2016-11-07,39.18,40.09,38.27,39.42
AAT,2016-11-08,39.56,40.04,39.55,39.86
AAT,2016-11-09,39.03,39.825,38.35,39.52
AAT,2016-11-10,39.59,39.8,38.4,39.05
AAT,2016-11-11,39.28,40.78,39.22,40.04
AAT,2016-11-14,39.83,41.1,39.45,41.01
AAT,2016-11-15,41.25,41.45,40.31,40.49
AAT,2016-11-16,40.49,40.73,40.04,40.24
AAT,2016-11-17,40.2,40.67,40.06,40.12
AAWW,2016-10-19,42.3,42.85,42.0,42.75
AAWW,2016-10-20,42.6,43.0,42.3,42.6
AAWW,2016-10-21,42.15,42.75,41.7,42.45
AAWW,2016-10-24,43.05,43.05,42.55,42.95
AAWW,2016-10-25,42.85,43.725,42.025,42.15
AAWW,2016-10-26,41.8,42.45,41.775,42.35
